video_id,title,channel_name,subscriber_count,category,publish_date,trending_date,days_to_trend,year,month,day_of_week,trending_country,language,duration_seconds,views,likes,dislikes,comments,like_view_ratio_pct,comment_view_ratio_pct,engagement_score
VID000017,Wild - Kendrick Lamar (Live Performance),MegaLive,331682,Music,05-05-2023,06-05-2023,1,2023,5,Friday,US,en,224,333970,6007,1419,2386,1.7987,0.7144,3.942
VID000018,You Won't BELIEVE What Happened Next!,DrZone,3050955,Entertainment,16-06-2024,23-06-2024,7,2024,6,Sunday,US,en,227,68700,4285,816,858,6.2373,1.2489,9.984
VID000019,EPIC survival challenge You Have to See,MaxVlogs,150695,People & Blogs,17-02-2024,20-02-2024,3,2024,2,Saturday,IN,en,365,31601,4305,259,277,13.623,0.8766,16.2527
VID000020,PewDiePie FINALLY Reveals The Truth,MaxShorts,566000,Entertainment,28-06-2021,29-06-2021,1,2021,6,Monday,MX,es,683,474698,5735,824,2504,1.2081,0.5275,2.7906
VID000021,Djokovic DESTROYS Warriors,EpicSports,287836,Sports,16-06-2021,21-06-2021,5,2021,6,Wednesday,CA,en,473,57972,3307,877,50,5.7045,0.0862,5.9632
VID000022,This luxury items is UNREAL,TheNation,3587875,People & Blogs,01-03-2024,08-03-2024,7,2024,3,Friday,IN,en,353,1393838,93673,26911,5120,6.7205,0.3673,7.8225
VID000023,Doja Cat - Thunder [Lyrics],WildStudio,1102,Music,10-11-2023,17-11-2023,7,2023,11,Friday,GB,en,140,10000,524,158,68,5.24,0.68,7.28
VID000024,Ice | Olivia Rodrigo ft. Post Malone,SuperExplains,46026289,Music,13-08-2025,15-08-2025,2,2025,8,Wednesday,GB,en,168,10657588,326126,54359,76878,3.06,0.7213,5.2241
VID000025,This TikTok trends is UNREAL,BrightBeast,3040,Film & Animation,23-10-2024,23-10-2024,0,2024,10,Wednesday,KR,ko,421,10000,415,143,29,4.15,0.29,5.02
VID000026,Lethal Company World Record Speedrun,ProHD,4871,Gaming,19-09-2022,21-09-2022,2,2022,9,Monday,US,en,1115,13272,1261,401,66,9.5012,0.4973,10.9931
VID000027,Learn Geography - Complete Beginner Guide,SunVlogs,249329,Education,01-06-2023,03-06-2023,2,2023,6,Thursday,BR,pt,180,18985,2037,625,167,10.7295,0.8796,13.3684
VID000028,IShowSpeed plays Valorant for the first time,WildZone,567769,Gaming,15-11-2023,16-11-2023,1,2023,11,Wednesday,IN,en,337,1094064,61707,5243,4098,5.6402,0.3746,6.7639
VID000029,GTA 6 World Record Speedrun,SuperComedy,66560,Gaming,08-02-2025,10-02-2025,2,2025,2,Saturday,IN,en,396,15666,100,34,180,0.6383,1.149,4.0853
VID000030,Everything You Need to Know About Psychology,OfficialShorts,21184,Education,09-08-2025,11-08-2025,2,2025,8,Saturday,RU,ru,2754,10000,396,121,122,3.96,1.22,7.62
VID000031,China Crisis Explained,DarkSports,9448439,News & Politics,20-12-2024,25-12-2024,5,2024,12,Friday,EG,ar,1438,5077970,141761,47620,19005,2.7917,0.3743,3.9145
VID000032,IShowSpeed plays Valorant for the first time,MaxFilms,17952,Gaming,31-12-2025,07-01-2026,7,2025,12,Wednesday,BR,pt,3175,12256,972,302,106,7.9308,0.8649,10.5255
VID000033,This survival challenge is UNREAL,PrimeFilms,101281,Comedy,29-03-2023,03-04-2023,5,2023,3,Wednesday,US,en,953,205148,16533,2080,2417,8.0591,1.1782,11.5936
VID000034,Midnight | Ed Sheeran ft. Post Malone,SuperMusic,128717,Music,19-01-2021,21-01-2021,2,2021,1,Tuesday,RU,ru,250,221201,11897,3741,2580,5.3784,1.1664,8.8774
VID000035,This fast food is UNREAL,ProComedy,446303,Nonprofits & Activism,11-09-2025,13-09-2025,2,2025,9,Thursday,DE,de,343,192667,8712,2453,890,4.5218,0.4619,5.9076
VID000036,This TikTok trends is UNREAL,WorldFilms,30465,Comedy,24-05-2022,27-05-2022,3,2022,5,Tuesday,CA,en,533,21591,1313,298,180,6.0812,0.8337,8.5823
VID000037,SATISFYING fast food You Have to See,OfficialVlogs,661133,Shorts,16-11-2022,19-11-2022,3,2022,11,Wednesday,IN,en,56,63973,2951,924,486,4.6129,0.7597,6.892
VID000038,The Future of Robotics is HERE,WorldReacts,488087,Science & Technology,05-11-2023,05-11-2023,0,2023,11,Sunday,GB,en,76,742897,26169,2979,19687,3.5226,2.65,11.4727
VID000039,Fortnite but everything is random,SuperVlogs,42105,Gaming,04-11-2022,04-11-2022,0,2022,11,Friday,US,en,793,387158,24948,7616,1121,6.4439,0.2895,7.3125
VID000040,🔥 Taylor Swift NEW SONG 2022,SkyHD,49646,Music,11-11-2025,13-11-2025,2,2025,11,Tuesday,AU,en,125,16385,1226,269,55,7.4825,0.3357,8.4895
VID000041,EPIC gadgets You Have to See,TeamStudio,159081,Comedy,06-02-2022,08-02-2022,2,2022,2,Sunday,BR,pt,497,89074,2781,222,509,3.1221,0.5714,4.8364
VID000042,NEW Baldur's Gate 3 Update is INSANE,SunExplains,33171843,Gaming,08-05-2025,09-05-2025,1,2025,5,Thursday,US,en,524,3741670,100524,24717,21660,2.6866,0.5789,4.4233
VID000043,Bad Bunny - Fire [Lyrics],EpicPlus,34329,Music,13-06-2025,15-06-2025,2,2025,6,Friday,BR,pt,379,10000,595,111,112,5.95,1.12,9.31
VID000044,Fire | BTS ft. Future,TheTech,38029,Music,25-04-2022,26-04-2022,1,2022,4,Monday,IN,en,345,10000,273,92,45,2.73,0.45,4.08
VID000045,I Spent $1000 on fast food,PrimeGaming,1099938,Entertainment,04-07-2023,05-07-2023,1,2023,7,Tuesday,US,en,725,47486,4035,1156,565,8.4972,1.1898,12.0667
VID000046,This fast food is UNREAL,BestGaming,28540,Comedy,04-02-2023,05-02-2023,1,2023,2,Saturday,AU,en,570,10000,753,193,111,7.53,1.11,10.86
VID000047,We Found the SHOCKING AI tools,GlobalOfficial,42883,Film & Animation,18-04-2022,19-04-2022,1,2022,4,Monday,GB,en,226,64197,4784,392,478,7.4521,0.7446,9.6858
VID000048,Why Schools Don't Teach Coding,DrPlays,366480,Education,12-10-2022,14-10-2022,2,2022,10,Wednesday,IN,en,612,108523,4542,1075,976,4.1853,0.8993,6.8833
VID000049,This gadgets is UNREAL,DrExplains,216930,Howto & Style,14-11-2025,14-11-2025,0,2025,11,Friday,US,en,1305,79797,1962,147,139,2.4587,0.1742,2.9813
VID000050,We Found the INSANE mystery box,MegaNation,30575,Travel & Events,27-05-2025,28-05-2025,1,2025,5,Tuesday,BR,pt,113,16367,692,206,160,4.228,0.9776,7.1608
VID000051,This AI tools is UNREAL,WorldComedy,118750,Nonprofits & Activism,23-01-2026,06-02-2026,14,2026,1,Friday,US,en,261,32068,1391,132,521,4.3377,1.6247,9.2117
VID000052,The Future of 5G is HERE,WorldChannel,157537,Science & Technology,20-02-2025,23-02-2025,3,2025,2,Thursday,FR,fr,912,560891,16418,3118,11653,2.9271,2.0776,9.1599
VID000053,We Found the UNBELIEVABLE TikTok trends,TrueHub,1270499,Nonprofits & Activism,13-02-2021,20-02-2021,7,2021,2,Saturday,IN,en,789,380104,5591,1290,1961,1.4709,0.5159,3.0186
VID000054,I Spent $10000 on luxury items,StarTV,349771,Entertainment,16-10-2022,17-10-2022,1,2022,10,Sunday,JP,ja,1812,574279,43593,4063,3322,7.5909,0.5785,9.3263
VID000055,BREAKING: NBA Finals | Full Coverage,DarkMusic,2720,News & Politics,22-08-2021,23-08-2021,1,2021,8,Sunday,IN,en,2805,10000,242,32,47,2.42,0.47,3.83
VID000056,This fast food is UNREAL,OfficialZone,10020,People & Blogs,15-11-2021,29-11-2021,14,2021,11,Monday,RU,ru,776,10000,508,143,26,5.08,0.26,5.86
VID000057,We Found the CRAZY mystery box,MaxMusic,124197,Autos & Vehicles,20-01-2022,20-01-2022,0,2022,1,Thursday,BR,pt,982,69289,3659,280,405,5.2808,0.5845,7.0343
VID000058,INSANE TikTok trends You Have to See,StudioNews,2880,Shows,18-04-2021,23-04-2021,5,2021,4,Sunday,GB,en,342,10000,121,7,93,1.21,0.93,4
VID000059,NEW Lethal Company Update is INSANE,TrueHub,3023667,Gaming,30-06-2020,02-07-2020,2,2020,6,Tuesday,BR,pt,3503,219591,27082,7336,1601,12.3329,0.7291,14.5202
VID000060,We Found the SHOCKING survival challenge,PrimeComedy,761151,Shows,08-10-2023,22-10-2023,14,2023,10,Sunday,VN,vi,184,14112,1222,80,67,8.6593,0.4748,10.0836
VID000061,Elden Ring World Record Speedrun,DrNews,12286,Gaming,16-09-2024,23-09-2024,7,2024,9,Monday,FR,fr,1074,10000,394,59,77,3.94,0.77,6.25
VID000062,Baldur's Gate 3 but it's CURSED,CoolTech,2015603,Gaming,24-09-2023,08-10-2023,14,2023,9,Sunday,KR,ko,448,111682,8310,590,457,7.4408,0.4092,8.6684
VID000063,Best Goals/Plays of the Week,TrueNetwork,1220,Sports,03-01-2023,04-01-2023,1,2023,1,Tuesday,JP,ja,152,10000,420,132,39,4.2,0.39,5.37
VID000064,We Found the CRAZY TikTok trends,OfficialGaming,609771,People & Blogs,08-10-2024,09-10-2024,1,2024,10,Tuesday,KR,ko,1439,82027,3271,967,746,3.9877,0.9095,6.7161
VID000065,Election 2025 - Latest Updates,OfficialZone,17165,News & Politics,27-06-2025,28-06-2025,1,2025,6,Friday,DE,de,171,10000,901,300,11,9.01,0.11,9.34
VID000066,This AI tools is UNREAL,SunNation,5912,Travel & Events,23-07-2021,24-07-2021,1,2021,7,Friday,IN,en,899,10000,320,34,6,3.2,0.06,3.38
VID000067,This survival challenge is UNREAL,WorldNetwork,43010,Shorts,23-06-2023,30-06-2023,7,2023,6,Friday,IN,en,55,24810,421,97,35,1.6969,0.1411,2.1201
VID000068,Election 2021 - Latest Updates,DrPlays,179766,News & Politics,04-12-2025,05-12-2025,1,2025,12,Thursday,JP,ja,340,96372,3421,493,1340,3.5498,1.3904,7.7211
VID000069,The Most SATISFYING gadgets Ever,MrLive,4587588,Entertainment,24-11-2020,25-11-2020,1,2020,11,Tuesday,TR,tr,294,3459285,296802,32506,44603,8.5799,1.2894,12.448
VID000070,Gone | Olivia Rodrigo ft. Nicki Minaj,StarExplains,30266,Music,07-05-2023,07-05-2023,0,2023,5,Sunday,JP,ja,141,26631,2366,714,176,8.8844,0.6609,10.867
VID000071,Bad Bunny - Forever [Lyrics],WorldNetwork,16785874,Music,22-11-2024,25-11-2024,3,2024,11,Friday,IN,en,320,31360435,3286597,488134,90834,10.4801,0.2896,11.349
VID000072,Why Blockchain Will Change Everything,StarVlogs,30055,Science & Technology,03-09-2025,03-09-2025,0,2025,9,Wednesday,JP,ja,758,10000,466,102,127,4.66,1.27,8.47
VID000073,EPIC survival challenge You Have to See,CoolPlus,45824,Autos & Vehicles,04-10-2024,05-10-2024,1,2024,10,Friday,US,en,1755,16702,1088,283,180,6.5142,1.0777,9.7473
VID000074,Russia Crisis Explained,GlobalLive,1000,News & Politics,20-03-2026,21-03-2026,1,2026,3,Friday,US,en,340,10000,608,108,17,6.08,0.17,6.59
VID000075,Valorant World Record Speedrun,SunComedy,3889369,Gaming,31-07-2025,31-07-2025,0,2025,7,Thursday,US,en,290,1671077,27739,9521,6656,1.6599,0.3983,2.8549
VID000076,Robotics vs Perplexity - Ultimate Comparison,MrMusic,50689152,Science & Technology,23-09-2024,26-09-2024,3,2024,9,Monday,ID,id,438,6123660,337040,66147,28266,5.5039,0.4616,6.8887
VID000077,We Tried TikTok trends For 24 Hours,SuperMusic,91465,Entertainment,02-12-2020,04-12-2020,2,2020,12,Wednesday,IN,en,306,131013,12691,2492,232,9.6868,0.1771,10.2181
VID000078,We Found the UNBELIEVABLE AI tools,TheGaming,70345,Film & Animation,16-05-2023,18-05-2023,2,2023,5,Tuesday,IN,en,486,10000,325,51,57,3.25,0.57,4.96
VID000079,Why VR Will Change Everything,TopNetwork,13194,Science & Technology,20-05-2023,22-05-2023,2,2023,5,Saturday,KR,ko,1707,10000,783,99,67,7.83,0.67,9.84
VID000080,Robotics vs Llama 4 - Ultimate Comparison,MrZone,3839,Science & Technology,14-07-2022,19-07-2022,5,2022,7,Thursday,US,en,848,10000,144,40,59,1.44,0.59,3.21
VID000081,Kai Cenat plays Elden Ring for the first time,TruePlus,90557,Gaming,09-08-2025,10-08-2025,1,2025,8,Saturday,MX,es,818,34056,1214,155,271,3.5647,0.7957,5.952
VID000082,NEW Zelda Update is INSANE,FireMusic,577972,Gaming,03-03-2025,06-03-2025,3,2025,3,Monday,MX,es,1762,48300,1635,514,205,3.3851,0.4244,4.6584
VID000083,Drake - Wild (Official Music Video),SuperClips,2707501,Music,29-04-2024,02-05-2024,3,2024,4,Monday,US,en,361,2946356,214810,74717,12228,7.2907,0.415,8.5358
VID000084,🔥 Bad Bunny NEW SONG 2020,DarkTech,8166,Music,08-04-2023,13-04-2023,5,2023,4,Saturday,US,en,312,17041,1101,202,44,6.4609,0.2582,7.2355
VID000085,Taylor Swift - Forever (Official Music Video),WildShow,10823,Music,06-03-2020,06-03-2020,0,2020,3,Friday,BR,pt,197,10000,100,26,48,1,0.48,2.44
VID000086,Palworld World Record Speedrun,TeamPlus,893157,Gaming,07-10-2022,10-10-2022,3,2022,10,Friday,GB,en,2274,603218,30086,2100,884,4.9876,0.1465,5.4272
VID000087,AMAZING gadgets You Have to See,WorldVlogs,1444,Film & Animation,27-03-2025,28-03-2025,1,2025,3,Thursday,FR,fr,441,10000,465,66,36,4.65,0.36,5.73
VID000088,We Found the INSANE fast food,IceComedy,150809,Comedy,07-03-2021,14-03-2021,7,2021,3,Sunday,US,en,210,31147,1360,362,92,4.3664,0.2954,5.2525
VID000089,Kai Cenat plays Elden Ring for the first time,SkyNews,8001,Gaming,23-12-2024,23-12-2024,0,2024,12,Monday,BR,pt,696,12863,257,74,172,1.998,1.3372,6.0095
VID000090,NEW Minecraft Update is INSANE,FireMusic,62898,Gaming,09-01-2020,16-01-2020,7,2020,1,Thursday,MX,es,609,92871,3808,934,773,4.1003,0.8323,6.5973
VID000091,You Won't BELIEVE What Happened Next!,WildChannel,422005,Entertainment,19-03-2026,21-03-2026,2,2026,3,Thursday,US,en,737,193571,19932,5794,1403,10.297,0.7248,12.4714
VID000092,🔥 Billie Eilish NEW SONG 2024,BestHub,47109,Music,23-05-2022,26-05-2022,3,2022,5,Monday,MX,es,388,10000,376,25,19,3.76,0.19,4.33
VID000093,This TikTok trends is UNREAL,WildOfficial,815058,People & Blogs,24-08-2025,24-08-2025,0,2025,8,Sunday,JP,ja,727,2497210,147432,41105,22291,5.9039,0.8926,8.5818
VID000094,Election 2020 - Latest Updates,SkyHD,209774,News & Politics,11-01-2026,12-01-2026,1,2026,1,Sunday,JP,ja,723,10000,554,75,72,5.54,0.72,7.7
VID000095,We Found the EPIC gadgets,DarkNetwork,171498,People & Blogs,05-04-2024,07-04-2024,2,2024,4,Friday,US,en,1165,50412,686,195,616,1.3608,1.2219,5.0266
VID000096,I Spent $100 on TikTok trends,DarkGaming,21609,Entertainment,24-03-2025,07-04-2025,14,2025,3,Monday,IN,en,207,10000,683,140,91,6.83,0.91,9.56
VID000097,This gadgets is UNREAL,WildPlays,95103,Shorts,31-08-2023,02-09-2023,2,2023,8,Thursday,GB,en,19,88076,4497,313,1102,5.1058,1.2512,8.8594
VID000098,This mystery box is UNREAL,GlobalWorld,5252,People & Blogs,28-06-2024,28-06-2024,0,2024,6,Friday,VN,vi,151,10000,479,46,11,4.79,0.11,5.12
VID000099,This TikTok trends is UNREAL,EpicVlogs,101082,People & Blogs,26-02-2023,26-02-2023,0,2023,2,Sunday,US,en,319,10000,1046,333,45,10.46,0.45,11.81
VID000100,What NBA Finals Means For The World,DrOfficial,25371,News & Politics,12-10-2022,15-10-2022,3,2022,10,Wednesday,US,en,527,12375,718,143,120,5.802,0.9697,8.7111
VID000101,We Found the UNBELIEVABLE AI tools,BestNetwork,1000,Film & Animation,17-06-2022,18-06-2022,1,2022,6,Friday,TR,tr,467,10000,291,26,178,2.91,1.78,8.25
VID000102,EPIC luxury items You Have to See,BestMedia,1000,Pets & Animals,12-06-2025,15-06-2025,3,2025,6,Thursday,VN,vi,249,10000,681,51,38,6.81,0.38,7.95
VID000103,Lethal Company but with 100 players,WildHD,185799,Gaming,15-07-2021,17-07-2021,2,2021,7,Thursday,US,en,1638,10000,1011,340,9,10.11,0.09,10.38
VID000104,What NBA Finals Means For The World,SunGaming,197166,News & Politics,23-02-2026,25-02-2026,2,2026,2,Monday,US,en,420,66563,4269,800,212,6.4135,0.3185,7.369
VID000105,EPIC survival challenge You Have to See,SuperPlays,5628,People & Blogs,20-03-2023,21-03-2023,1,2023,3,Monday,PK,ur,93,10000,356,54,17,3.56,0.17,4.07
VID000106,Top 10 Soccer Moments of 2022,BrightShow,856881,Sports,02-08-2025,07-08-2025,5,2025,8,Saturday,US,en,199,109402,7622,1189,1136,6.967,1.0384,10.0821
VID000107,EPIC mystery box You Have to See,WildClips,174601,Howto & Style,09-11-2022,11-11-2022,2,2022,11,Wednesday,MX,es,1648,67043,1158,376,419,1.7272,0.625,3.6022
VID000108,I Tested VR For 30 Days,MrStudio,10911287,Science & Technology,08-07-2021,10-07-2021,2,2021,7,Thursday,US,en,1802,8891641,892962,105000,58405,10.0427,0.6569,12.0133
VID000109,Everything You Need to Know About Black Holes,GlobalMusic,715742,Education,06-10-2025,07-10-2025,1,2025,10,Monday,DE,de,532,267273,26767,7705,1377,10.0149,0.5152,11.5605
VID000110,This luxury items is UNREAL,IceStudio,161443,Howto & Style,29-11-2022,01-12-2022,2,2022,11,Tuesday,ID,id,495,416776,5066,609,3998,1.2155,0.9593,4.0933
VID000111,Bad Bunny - Ocean (Official Music Video),ThePlus,13793258,Music,04-08-2025,06-08-2025,2,2025,8,Monday,US,en,227,814618,56140,17778,5928,6.8916,0.7277,9.0747
VID000112,We Tried fast food For 24 Hours,TeamGaming,189702,Entertainment,12-12-2020,12-12-2020,0,2020,12,Saturday,MX,es,2292,56278,2904,399,613,5.1601,1.0892,8.4278
VID000113,The Most SATISFYING survival challenge Ever,IcePlays,182400,Entertainment,16-04-2022,17-04-2022,1,2022,4,Saturday,BR,pt,380,49430,2494,710,43,5.0455,0.087,5.3065
VID000114,SHOCKING survival challenge You Have to See,FireMedia,132047,Comedy,24-06-2023,08-07-2023,14,2023,6,Saturday,TH,th,338,23836,589,150,45,2.4711,0.1888,3.0374
VID000115,Election 2024 - Latest Updates,IceHub,422435,News & Politics,08-03-2020,10-03-2020,2,2020,3,Sunday,US,en,137,343822,7336,1295,2141,2.1337,0.6227,4.0018
VID000116,This TikTok trends is UNREAL,StudioHub,11686096,Film & Animation,03-10-2025,04-10-2025,1,2025,10,Friday,PK,ur,284,19962053,1106469,229135,98395,5.5429,0.4929,7.0216
VID000117,We Found the AMAZING TikTok trends,DarkHub,11498418,People & Blogs,11-12-2021,13-12-2021,2,2021,12,Saturday,VN,vi,259,913733,46015,8664,5698,5.0359,0.6236,6.9067
VID000118,I Beat Palworld Without weapons,GlobalClips,128278,Gaming,18-02-2025,20-02-2025,2,2025,2,Tuesday,US,en,2391,10000,339,63,44,3.39,0.44,4.71
VID000119,How Black Holes Actually Works,StarNews,586401,Education,11-09-2020,13-09-2020,2,2020,9,Friday,US,en,249,2348855,76175,5336,3295,3.2431,0.1403,3.6639
VID000120,Drake - Ice (Official Music Video),BestNation,275217,Music,12-07-2022,13-07-2022,1,2022,7,Tuesday,IN,en,196,214904,12543,4144,812,5.8366,0.3778,6.9701
VID000121,AR vs Gemini - Ultimate Comparison,BrightShorts,1050590,Science & Technology,25-08-2020,25-08-2020,0,2020,8,Tuesday,IN,en,2086,10000,313,15,16,3.13,0.16,3.61
VID000122,We Found the UNBELIEVABLE mystery box,SkyTV,695416,Pets & Animals,16-11-2025,17-11-2025,1,2025,11,Sunday,BR,pt,437,5824773,840355,83930,4283,14.4273,0.0735,14.6478
VID000123,Dua Lipa - Fire (Official Music Video),SunNews,73957,Music,07-02-2024,21-02-2024,14,2024,2,Wednesday,US,en,416,19404,563,129,40,2.9015,0.2061,3.5199
VID000124,This luxury items is UNREAL,SunNetwork,30612,People & Blogs,20-10-2025,21-10-2025,1,2025,10,Monday,RU,ru,490,19122,1352,264,131,7.0704,0.6851,9.1256
VID000125,We Found the SHOCKING TikTok trends,WildNews,286095,Pets & Animals,25-08-2021,26-08-2021,1,2021,8,Wednesday,BR,pt,84,91746,5419,1260,199,5.9065,0.2169,6.5572
VID000126,This TikTok trends is UNREAL,UltraSports,16122,Howto & Style,01-11-2025,03-11-2025,2,2025,11,Saturday,FR,fr,352,39801,656,157,187,1.6482,0.4698,3.0577
VID000127,The Most AMAZING AI tools Ever,MegaExplains,50605064,Entertainment,02-07-2024,03-07-2024,1,2024,7,Tuesday,IN,en,392,20105834,288039,47302,27945,1.4326,0.139,1.8496
VID000128,The Most AMAZING luxury items Ever,MaxMedia,113767,Entertainment,12-10-2020,15-10-2020,3,2020,10,Monday,IN,en,336,66564,4819,1467,254,7.2396,0.3816,8.3844
VID000129,How Psychology Actually Works,GlobalNation,891407,Education,10-04-2021,11-04-2021,1,2021,4,Saturday,US,en,797,100504,4352,1218,246,4.3302,0.2448,5.0645
VID000130,This mystery box is UNREAL,MrFilms,59347,Howto & Style,06-02-2025,09-02-2025,3,2025,2,Thursday,BR,pt,677,10000,263,28,14,2.63,0.14,3.05
VID000131,This fast food is UNREAL,TheFilms,23593,Comedy,15-12-2025,15-12-2025,0,2025,12,Monday,CA,en,149,10000,902,262,80,9.02,0.8,11.42
VID000132,Baldur's Gate 3 World Record Speedrun,OfficialClips,90178,Gaming,22-02-2020,25-02-2020,3,2020,2,Saturday,BR,pt,2733,36573,1300,351,33,3.5545,0.0902,3.8252
VID000133,We Found the SATISFYING luxury items,DarkPlays,1759020,People & Blogs,16-07-2024,17-07-2024,1,2024,7,Tuesday,GB,en,785,302828,5658,789,762,1.8684,0.2516,2.6233
VID000134,Why Neuralink Will Change Everything,SuperHD,899361,Science & Technology,16-12-2020,18-12-2020,2,2020,12,Wednesday,US,en,365,163194,9772,1125,1129,5.988,0.6918,8.0634
VID000135,Baldur's Gate 3 World Record Speedrun,WildPlus,1292023,Gaming,20-01-2023,23-01-2023,3,2023,1,Friday,CA,en,756,651799,26819,7389,8165,4.1146,1.2527,7.8727
VID000136,This survival challenge is UNREAL,StarReacts,776778,Autos & Vehicles,26-12-2024,29-12-2024,3,2024,12,Thursday,BR,pt,290,61145,6942,1344,412,11.3533,0.6738,13.3748
VID000137,🔥 Olivia Rodrigo NEW SONG 2024,StudioFilms,43599,Music,11-01-2025,12-01-2025,1,2025,1,Saturday,TR,tr,381,10000,770,262,31,7.7,0.31,8.63
VID000138,We Found the UNBELIEVABLE gadgets,EpicBeast,528445,Comedy,07-07-2022,09-07-2022,2,2022,7,Thursday,GB,en,204,275697,28018,4298,769,10.1626,0.2789,10.9994
VID000139,The Future of Quantum Computing is HERE,MaxMusic,49698,Science & Technology,17-11-2023,22-11-2023,5,2023,11,Friday,EG,ar,710,22795,1321,75,93,5.7951,0.408,7.0191
VID000140,Ronaldo DESTROYS Warriors,PrimeTech,833286,Sports,15-04-2025,18-04-2025,3,2025,4,Tuesday,BR,pt,542,302168,33488,4356,2517,11.0826,0.833,13.5815
VID000141,Kendrick Lamar - Forever (Official Music Video),MrNews,280511,Music,16-08-2023,30-08-2023,14,2023,8,Wednesday,GB,en,312,126543,7031,1954,531,5.5562,0.4196,6.8151
VID000142,I Tested Neuralink For 30 Days,OfficialWorld,890013,Science & Technology,22-11-2025,24-11-2025,2,2025,11,Saturday,BR,pt,1824,757002,46203,15527,7515,6.1034,0.9927,9.0816
VID000143,Thunder - Travis Scott (Live Performance),TrueComedy,267486,Music,17-11-2021,22-11-2021,5,2021,11,Wednesday,ID,id,149,47170,1240,199,172,2.6288,0.3646,3.7227
VID000144,CRAZY TikTok trends You Have to See,EpicTV,4120917,People & Blogs,19-01-2020,20-01-2020,1,2020,1,Sunday,US,en,1065,1798186,110806,29853,1988,6.1621,0.1106,6.4938
VID000145,This gadgets is UNREAL,SkyMusic,5408545,People & Blogs,11-06-2021,13-06-2021,2,2021,6,Friday,US,en,1064,234124,7510,1357,1706,3.2077,0.7287,5.3937
VID000146,BTS - Thunder (Official Music Video),UltraReacts,440660,Music,04-08-2020,07-08-2020,3,2020,8,Tuesday,PH,en,289,19895,684,236,41,3.438,0.2061,4.0563
VID000147,Sunrise | Kendrick Lamar ft. Future,PrimeChannel,19613,Music,28-08-2025,28-08-2025,0,2025,8,Thursday,PH,en,352,24304,1223,179,249,5.0321,1.0245,8.1057
